<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2020.09.18;16:56:00;121800;121820;121760;121810;402;796;10
2020.09.18;16:57:00;121820;121820;121760;121780;225;554;10
2020.09.18;16:58:00;121770;121810;121740;121810;206;448;10
2020.09.18;16:59:00;121810;121810;121760;121790;152;256;10
2020.09.18;17:00:00;121770;121830;121740;121830;350;727;10
2020.09.18;17:01:00;121830;121870;121820;121850;395;779;10
2020.09.18;17:02:00;121860;121870;121820;121840;303;626;10
2020.09.18;17:03:00;121840;121840;121730;121760;471;1182;10
2020.09.18;17:04:00;121760;121810;121760;121810;209;432;10
2020.09.18;17:05:00;121800;121810;121740;121810;266;885;10
2020.09.18;17:06:00;121810;121860;121780;121840;302;638;10
2020.09.18;17:07:00;121840;121910;121840;121880;395;739;10
2020.09.18;17:08:00;121890;121910;121850;121860;292;668;10
2020.09.18;17:09:00;121860;121870;121790;121810;383;1170;10
2020.09.18;17:10:00;121820;121860;121800;121810;217;574;10
2020.09.18;17:11:00;121820;121850;121770;121780;246;618;10
2020.09.18;17:12:00;121780;121790;121710;121740;441;1024;10
2020.09.18;17:13:00;121730;121810;121700;121800;268;499;10
2020.09.18;17:14:00;121790;121870;121790;121860;219;409;10
2020.09.18;17:15:00;121860;121900;121830;121900;245;516;10
2020.09.18;17:16:00;121880;121970;121880;121950;593;1346;10
2020.09.18;17:17:00;121950;121980;121930;121970;260;705;10
2020.09.18;17:18:00;121960;121990;121950;121970;205;421;10
2020.09.18;17:19:00;121960;121970;121870;121910;447;974;10
2020.09.18;17:20:00;121910;121920;121800;121820;458;1259;10
2020.09.18;17:21:00;121830;121920;121820;121880;272;510;10
2020.09.18;17:22:00;121890;121900;121810;121810;229;377;10
